         MJD         m       dm  uJy  duJy F  err   chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
59636.121819 17.509244 0.042223  NaN    14 o    0    8.12 89.89063 -58.32455  8406.57  6422.09 2.68 2.39 -13.5 -0.408    19.50 21.09 04a59636o0108o 0xc00800         NaN
59636.133198 17.675104 0.052706  NaN    15 o    0    6.91 89.89063 -58.32455  8378.73  6534.14 2.64 2.38 -18.4 -0.412    19.46 21.01 04a59636o0133o 0xc00800         NaN
59638.095289 17.210554 0.048102  NaN    21 o    0    3.31 89.89063 -58.32455  9393.61   304.86 2.90 2.33 -30.8 -0.404    19.36 20.97 04a59638o0172o 0xc00800         NaN
59638.100928 17.303777 0.049919  NaN    20 o    0    4.89 89.89063 -58.32455  9409.55   341.97 3.01 2.29 -30.3 -0.398    19.37 20.94 04a59638o0184o 0xc00800         NaN
59638.105069 17.159109 0.039322  NaN    18 o    0    5.58 89.89063 -58.32455  9345.72   257.57 2.98 2.21 -31.1 -0.395    19.37 20.96 04a59638o0193o 0xc00800         NaN
59638.107335 17.416785 0.055395  NaN    20 o    0    2.90 89.89063 -58.32455  2187.16 10421.25 2.98 2.27 -77.3 -0.374    19.35 20.92 04a59638o0198o 0xc00800         NaN
59638.110066 18.197417 0.108005  NaN    19 o    0    9.17 89.89063 -58.32455  2201.44 10458.55 2.97 2.27 -79.6 -0.389    19.38 20.93 04a59638o0204o 0xc00800         NaN
59638.115145 17.057018 0.037782  NaN    19 o    0    7.77 89.89063 -58.32455  9313.98   370.71 2.95 2.27 -31.5 -0.394    19.30 20.88 04a59638o0215o 0xc00800         NaN
59638.115596 17.450541 0.042858  NaN    15 o    0    4.43 89.89063 -58.32455  2146.26 10379.59 2.99 2.32 -78.8 -0.373    19.34 20.94 04a59638o0216o 0xc00800         NaN
59638.126080 18.867907 0.210823  NaN    20 o    0   15.94 89.89063 -58.32455  2119.39 10494.61 2.96 2.32 -80.1 -0.384    19.34 20.86 04a59638o0239o 0xc00801         NaN
59641.084372 17.257360 0.040655  NaN    17 o    0    8.53 89.89063 -58.32455  2902.55  6214.58 2.35 1.99  86.0 -0.412    19.38 21.11 04a59641o0214o 0xc00800         NaN
59641.087561 17.118376 0.033666  NaN    16 o    0    9.83 89.89063 -58.32455  2919.63  6250.82 2.34 1.98  89.2 -0.412    19.40 21.09 04a59641o0221o 0xc00800         NaN
59641.093955 17.031470 0.033019  NaN    17 o    0   10.51 89.89063 -58.32455  2859.03  6171.83 2.30 1.93 -90.0 -0.414    19.42 21.05 04a59641o0235o 0xc00801         NaN
59641.107284 17.821591 0.048255  NaN    12 o    0   26.70 89.89063 -58.32455  2828.58  6283.42 2.28 1.92 -87.9 -0.412    19.40 21.06 04a59641o0264o 0xc00801         NaN
59642.090560 17.061003 0.043908  NaN    22 o    0    3.34 89.89063 -58.32455  9388.23   299.56 3.07 2.24 -30.3 -0.392    19.23 20.73 04a59642o0216o 0xc00800         NaN
59642.093319 17.167883 0.046248  NaN    21 o    0    5.27 89.89063 -58.32455  9405.96   338.52 3.23 2.35 -37.0 -0.385    19.20 20.73 04a59642o0222o 0xc00800         NaN
59642.095590 17.156927 0.043604  NaN    20 o    0    1.81 89.89063 -58.32455  2185.62 10419.91 3.12 2.39 -77.6 -0.370    19.25 20.83 04a59642o0227o 0xc00800         NaN
59642.098417 18.776955 0.222964  NaN    23 o    0    8.33 89.89063 -58.32455  2199.94 10457.22 2.82 2.09 -75.5 -0.406    19.32 20.77 04a59642o0233o 0xc00800         NaN
59642.098868 17.650782 0.079025  NaN    23 o    0   17.86 89.89063 -58.32455  9338.69   254.17 2.77 2.15 -30.9 -0.415    19.26 20.75 04a59642o0234o 0xc00801         NaN
59642.103977 17.464922 0.052115  NaN    18 o    0    6.30 89.89063 -58.32455  2144.32 10377.58 2.92 2.19 -76.7 -0.384    19.34 20.77 04a59642o0245o 0xc00800         NaN
59642.108640 17.027593 0.038707  NaN    20 o    0    6.18 89.89063 -58.32455  9307.95   366.97 2.93 2.14 -33.4 -0.395    19.30 20.82 04a59642o0255o 0xc00800         NaN
59642.113648 18.720295 0.184023  NaN    20 o    0   20.82 89.89063 -58.32455  2118.06 10492.74 2.91 2.17 -77.2 -0.393    19.34 20.83 04a59642o0266o 0xc00801         NaN
59645.845521 17.061003 0.033929  NaN    17 o    0    5.25 89.89063 -58.32455  6874.10  8569.47 2.57 2.30 -58.7 -0.406    19.49 20.93 03a59646o0197o 0xc00800         NaN
59645.851954 17.416785 0.041546  NaN    15 o    0    6.69 89.89063 -58.32455  6892.26  8610.25 2.61 2.29 -53.9 -0.408    19.47 20.92 03a59646o0211o 0xc00800         NaN
59645.855598 17.243105 0.035404  NaN    15 o    0    4.63 89.89063 -58.32455  6839.84  8529.10 2.60 2.31 -57.2 -0.408    19.45 20.92 03a59646o0219o 0xc00800         NaN
59645.867045 17.131075 0.031933  NaN    15 o    0   10.89 89.89063 -58.32455  6819.27  8641.74 2.64 2.33 -53.1 -0.403    19.44 20.86 03a59646o0244o 0xc00801         NaN
59652.028683 17.759085 0.091111  NaN    24 o    0    4.44 89.89063 -58.32455  4559.59  4072.25 2.15 2.13  88.3 -0.457    18.89 20.02 04a59652o0092o 0xc00800         NaN
59652.031430 17.577708 0.061033  NaN    19 o    0    6.43 89.89063 -58.32455  4578.27  4109.07 2.24 2.14  58.7 -0.448    18.89 20.00 04a59652o0098o 0xc00800         NaN
59652.037606 17.306276 0.057539  NaN    23 o    0    7.08 89.89063 -58.32455  4517.16  4027.68 2.10 2.02  84.0 -0.455    18.95 20.03 04a59652o0111o 0xc00800         NaN
59652.047860 17.479496 0.064557  NaN    22 o    0    4.06 89.89063 -58.32455  4488.61  4139.06 2.06 1.96  88.6 -0.456    18.97 20.02 04a59652o0133o 0xc00800         NaN
59656.094423 17.949472 0.108574  NaN    24 o    0    5.27 89.89063 -58.32455  4517.99  4044.34 2.05 1.89  88.7 -0.425    18.51 19.19 04a59656o0237o 0xc00800         NaN
59656.098066 18.034118 0.136940  NaN    28 o    0    6.68 89.89063 -58.32455  4534.24  4082.36 2.10 2.01 -82.4 -0.409    18.48 19.18 04a59656o0245o 0xc00800         NaN
59656.104162 17.344465 0.085511  NaN    33 o    0    2.73 89.89063 -58.32455  4473.71  4003.53 2.06 1.94  89.1 -0.422    18.46 19.13 04a59656o0258o 0xc00800         NaN
59656.114907 17.430723 0.086971  NaN    31 o    0    3.43 89.89063 -58.32455  4446.45  4117.84 2.07 1.98 -90.0 -0.422    18.44 19.09 04a59656o0280o 0xc00800         NaN
59660.015386 18.738855 0.187196  NaN    20 o    0    2.57 89.89063 -58.32455  4015.49 10278.78 3.03 2.33 -82.1 -0.436    19.29 20.93 04a59660o0081o 0xc00800         NaN
59660.020506 19.631075      NaN  NaN    17 o    0    7.19 89.89063 -58.32455  4029.71 10315.11 2.86 2.17 -81.7 -0.443    19.35 20.93 04a59660o0092o 0xc00800         NaN
59660.022353 18.180496 0.089545  NaN    16 o    0    3.37 89.89063 -58.32455  1295.83   157.42 3.03 2.06  46.7 -0.444    19.29 21.01 04a59660o0096o 0xc00800         NaN
59660.023253 19.472870 0.276035  NaN    15 o    0    5.05 89.89063 -58.32455  3975.67 10235.59 3.10 2.28 -83.1 -0.419    19.30 20.93 04a59660o0098o 0xc00800         NaN
59660.025055 18.298627 0.099838  NaN    16 o    0    2.98 89.89063 -58.32455  1314.05   195.23 3.11 2.14  48.5 -0.435    19.28 21.02 04a59660o0102o 0xc00800         NaN
59660.030048 18.317510 0.126987  NaN    20 o    0    3.45 89.89063 -58.32455  1249.33   114.77 3.05 2.10  44.8 -0.446    19.30 20.99 04a59660o0113o 0xc00800         NaN
59660.035355 19.549093      NaN  NaN    15 o    0    6.52 89.89063 -58.32455  3950.13 10347.33 3.02 2.31 -78.0 -0.405    19.30 20.94 04a59660o0124o 0xc00800         NaN
59660.039863 17.935984 0.067021  NaN    15 o    0    3.06 89.89063 -58.32455  1221.37   229.79 3.12 2.19  45.7 -0.438    19.30 20.95 04a59660o0134o 0xc00800         NaN
59664.093504 19.051202      NaN  NaN    15 o    0    8.19 89.89063 -58.32455  1181.45   209.97 2.71 1.79  43.1 -0.443    19.41 20.87 04a59664o0152o 0xc00800         NaN
59667.996402 20.009244      NaN  NaN    12 o    0   15.48 89.89063 -58.32455  3998.19  2032.40 2.30 2.13  45.5 -0.468    19.18 20.68 04a59668o0066o 0xc00801         NaN
59667.999148 20.009244      NaN  NaN    12 o    0    7.97 89.89063 -58.32455  4017.39  2068.93 2.26 2.11  50.8 -0.473    19.23 20.76 04a59668o0072o 0xc00800         NaN
59668.005972 20.009244      NaN  NaN    12 o    0   12.28 89.89063 -58.32455  3950.78  1989.31 2.29 2.12  52.4 -0.466    19.26 20.85 04a59668o0087o 0xc00801         NaN
59668.016967 19.922338      NaN  NaN    13 o    0    9.44 89.89063 -58.32455  3921.49  2101.79 2.27 2.12  64.1 -0.463    19.26 20.90 04a59668o0111o 0xc00800         NaN
59672.053793 20.207197      NaN  NaN    10 o    0   37.35 89.89063 -58.32455  3957.06  2010.70 2.13 1.96  62.8 -0.450    19.23 20.77 04a59672o0200o 0xc00801         NaN
59672.057886 20.321591      NaN  NaN     9 o    0   16.17 89.89063 -58.32455  3974.75  2047.91 2.17 2.00  59.5 -0.452    19.22 20.78 04a59672o0209o 0xc00801         NaN
59672.064248 20.207197      NaN  NaN    10 o    0   22.20 89.89063 -58.32455  3909.83  1970.51 2.15 1.98  59.4 -0.446    19.23 20.77 04a59672o0223o 0xc00801         NaN
59672.080607 20.009244      NaN  NaN    12 o    0   17.18 89.89063 -58.32455  3878.36  2085.07 2.01 1.88  63.4 -0.444    19.31 20.85 04a59672o0259o 0xc00801         NaN
59675.989798 19.696897      NaN  NaN    16 o    0    5.45 89.89063 -58.32455  1948.21  2173.16 2.18 2.04  49.6 -0.435    19.08 20.17 04a59676o0064o 0xc00800         NaN
59675.992526 19.454622      NaN  NaN    20 o    0    2.84 89.89063 -58.32455  1966.02  2210.02 2.29 2.12  54.3 -0.444    19.07 20.37 04a59676o0070o 0xc00800         NaN
59676.002129 20.761819      NaN  NaN     6 o    0    8.82 89.89063 -58.32455  1898.18  2130.15 2.22 2.01  48.5 -0.439    19.20 20.61 04a59676o0091o 0xc00800         NaN
59676.012863 20.207197      NaN  NaN    10 o    0    8.72 89.89063 -58.32455  1871.87  2244.12 2.30 2.00  47.8 -0.438    19.21 20.64 04a59676o0114o 0xc00800         NaN
59677.796648 19.510313      NaN  NaN    19 o    0    1.32 89.89063 -58.32455  8725.33  8609.86 4.21 4.01 -60.0 -0.356    18.69 20.57 03a59678o0113o 0xc00800         NaN
59677.803971 19.631075      NaN  NaN    17 o    0    1.40 89.89063 -58.32455  8744.69  8646.91 4.19 4.00 -55.5 -0.377    18.80 20.63 03a59678o0129o 0xc00900         NaN
59677.814038 19.631075      NaN  NaN    17 o    0    1.30 89.89063 -58.32455  8691.64  8561.31 3.65 3.41 -54.4 -0.349    18.93 20.67 03a59678o0151o 0xc00900         NaN
59677.817226 19.696897      NaN  NaN    16 o    0    2.40 89.89063 -58.32455  8671.68  8676.99 4.04 3.83 -58.6 -0.389    18.86 20.68 03a59678o0158o 0xc00800         NaN
59680.016510 19.922338      NaN  NaN    13 o    0    3.63 89.89063 -58.32455  1927.55  2159.25 2.57 2.22  45.0 -0.429    18.98 20.28 04a59680o0135o 0xc00800         NaN
59680.019212 19.766969      NaN  NaN    15 o    0    2.24 89.89063 -58.32455  1945.93  2196.90 2.55 2.14  43.7 -0.426    18.99 20.28 04a59680o0141o 0xc00800         NaN
59680.026018 19.841877      NaN  NaN    14 o    0    5.91 89.89063 -58.32455  1880.94  2119.72 2.47 2.03  50.4 -0.428    19.03 20.31 04a59680o0156o 0xc00800         NaN
59680.036477 19.510313      NaN  NaN    19 o    0    5.92 89.89063 -58.32455  1853.04  2237.17 2.42 2.03  48.6 -0.425    19.01 20.22 04a59680o0179o 0xc00800         NaN
