,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
535,59069.540858,21.046,1.547,14,21,o,0,0.93,329.82726,-6.99383,9763.54,8001.16,2.51,2.43,80.7,-0.406,18.99,19.66,02a59069o0663o
536,59069.55094,-20.322,0.772,-27,21,o,0,1.1,329.82726,-6.99383,9821.32,8077.74,2.38,2.29,79.7,-0.427,19.0,19.63,02a59069o0685o
537,59069.556555,-21.041,1.509,-14,21,o,0,0.69,329.82726,-6.99383,9837.28,7958.81,2.37,2.22,48.1,-0.426,18.98,19.62,02a59069o0697o
538,59070.478254,-20.728,0.825,-19,15,o,0,0.69,329.82726,-6.99383,9789.67,8027.62,2.43,2.21,43.5,-0.425,19.38,20.31,02a59070o0524o
539,59070.482405,-20.255,0.527,-29,15,o,0,1.1,329.82726,-6.99383,9768.87,7989.26,2.46,2.19,42.7,-0.424,19.33,20.32,02a59070o0533o
540,59070.487902,-20.168,0.516,-31,16,o,0,0.92,329.82726,-6.99383,9828.55,8069.3,2.35,2.21,48.7,-0.432,19.35,20.31,02a59070o0545o
541,59070.501289,-21.962,2.609,-6,16,o,0,0.94,329.82726,-6.99383,9847.36,7954.7,2.38,2.26,64.1,-0.42,19.34,20.31,02a59070o0574o
542,59072.498348,21.486,1.354,9,12,o,0,1.12,329.82726,-6.99383,594.94,607.21,2.07,1.9,24.4,-0.481,19.41,20.33,01a59072o0466o
543,59072.502512,22.729,5.552,3,16,o,0,0.81,329.82726,-6.99383,616.1,646.25,2.12,1.99,31.0,-0.474,19.22,20.11,01a59072o0475o
544,59072.508512,-21.1,1.074,-13,14,o,0,1.12,329.82726,-6.99383,556.39,567.37,1.99,1.9,30.5,-0.493,19.26,20.18,01a59072o0488o
545,59072.522352,21.731,1.898,7,14,o,0,1.03,329.82726,-6.99383,538.82,685.37,1.95,1.84,43.1,-0.49,19.48,20.29,01a59072o0518o
546,59074.48938,21.277,0.892,11,10,o,0,1.17,329.82726,-6.99383,9554.91,4146.98,2.24,2.01,-60.5,-0.433,19.6,20.94,02a59074o0552o
547,59074.494695,23.829,12.1,1,13,o,0,0.62,329.82726,-6.99383,9535.43,4108.55,2.17,2.02,-67.0,-0.432,19.62,20.94,02a59074o0563o
548,59074.499754,-20.97,0.587,-15,9,o,0,1.54,329.82726,-6.99383,9593.86,4184.95,2.17,1.95,-61.8,-0.439,19.6,20.93,02a59074o0574o
549,59074.517278,-24.197,14.143,-1,11,o,0,1.23,329.82726,-6.99383,9617.13,4071.9,2.22,2.0,-62.7,-0.433,19.56,20.84,02a59074o0612o
