         MJD         m       dm     uJy   duJy F  err  chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs    __tmp_SN
57806.493857 18.720295 0.312839     118     34 o    0   0.94 142.43975 3.06937  3246.08  4055.32  4.36  4.10 -79.6 -0.541    18.78 20.61 01a57806o0544o    3.470588
57808.463421 18.910912      NaN      -5     33 o    0   0.83 142.43975 3.06937  2269.47  3464.55  4.45  4.14 -83.6 -0.526    18.93 20.84 01a57808o0386o   -0.151515
57808.476561 18.606822      NaN      32     33 o    0   0.96 142.43975 3.06937  2210.32  3386.48  4.56  4.23 -81.5 -0.526    18.89 20.82 01a57808o0412o    0.969697
57808.490987 18.376212      NaN      60     34 o    0   1.06 142.43975 3.06937  2193.94  3502.90  4.61  4.30 -80.6 -0.523    18.83 20.72 01a57808o0440o    1.764706
57810.437742 15.729140      NaN     376    493 o    0   1.05 142.43975 3.06937  2489.90  5129.42  4.01  3.87 -79.2 -0.573    15.85 17.63 01a57810o0426o    0.762677
57810.451415 15.916493      NaN     271    430 o    0   0.86 142.43975 3.06937  2509.28  5167.70  4.07  3.89 -77.5 -0.584    16.09 17.93 01a57810o0453o    0.630233
57810.468161 16.341869      NaN     248    269 o    0   0.92 142.43975 3.06937  2450.21  5092.01  4.00  3.86 -75.3 -0.593    16.55 18.36 01a57810o0486o    0.921933
57810.480861 15.791165      NaN     156    532 o    0   1.11 142.43975 3.06937  2433.04  5206.54  4.00  3.88 -74.2 -0.591    15.69 17.45 01a57810o0511o    0.293233
57816.416245 19.142275      NaN      20     20 o    0   1.35 142.43975 3.06937  5166.15  4800.60  3.54  3.43 -81.6 -0.473    19.16 21.22 01a57816o0387o    1.000000
57816.430643 19.063754      NaN      23     21 o    0   0.84 142.43975 3.06937  5185.28  4839.69  3.25  3.14 -74.0 -0.484    19.25 21.24 01a57816o0416o    1.095238
57816.446310 19.063754      NaN      20     22 o    0   0.93 142.43975 3.06937  5127.96  4762.71  3.41  3.29 -73.0 -0.477    19.19 21.22 01a57816o0447o    0.909091
57816.460986 19.436675      NaN       4     19 o    0   1.16 142.43975 3.06937  5110.52  4878.42  3.39  3.28 -49.0 -0.472    19.20 21.22 01a57816o0476o    0.210526
