         MJD         m       dm   uJy  duJy F  err    chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN
57621.343756 18.073966      NaN    28    62 o    0     1.15 278.34909 44.08657  9202.06  7676.21  5.46 3.80  88.9 -0.365    18.34 20.04 02a57621o0210o   0.451613
57621.356223 18.158337      NaN   -97    66 o    0     1.36 278.34909 44.08657  9258.74  7756.34  5.42 3.57 -88.0 -0.380    18.17 20.04 02a57621o0232o  -1.469697
57621.372228 18.298627      NaN   -33    58 o    0     1.25 278.34909 44.08657  9272.15  7638.57  5.31 3.47 -87.3 -0.391    18.24 19.96 02a57621o0260o  -0.568966
57621.384895 17.392139      NaN   200    67 o    0     1.23 278.34909 44.08657  9242.93  7695.52  5.58 3.91 -89.1 -0.362    18.24 19.96 02a57621o0282o   2.985075
57652.258151 19.226921      NaN     5    23 o    0     1.30 278.34909 44.08657   260.39  9017.56  3.62 3.28  41.4 -0.470    19.27 20.93 02a57652o0084o   0.217391
57652.269030 19.169763      NaN    12    22 o    0     1.11 278.34909 44.08657   230.18  8977.66  3.63 3.29  41.5 -0.470    19.31 21.00 02a57652o0105o   0.545455
57652.284072 19.401649      NaN     3    20 o    0     1.35 278.34909 44.08657  9743.46  9033.91  3.74 3.09 -87.1 -0.464    19.38 21.12 02a57652o0134o   0.150000
57652.285155 19.197966      NaN    16    20 o    0     1.51 278.34909 44.08657   282.62  9052.07  3.54 3.21  43.7 -0.483    19.36 21.07 02a57652o0136o   0.800000
57652.288789 19.256669      NaN     9    21 o    0     0.93 278.34909 44.08657  9729.18  8992.26  3.65 3.06 -86.9 -0.471    19.40 21.14 02a57652o0143o   0.428571
57652.292359 19.197966      NaN     7    23 o    0     1.19 278.34909 44.08657   312.36  8929.88  3.53 3.23  47.5 -0.471    19.39 21.11 02a57652o0150o   0.304348
