         MJD         m       dm    uJy  duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN
57668.289375 19.631075      NaN      0    17 c    0     1.54 278.35567 44.08185  1169.79  7253.53 3.83 3.62  53.4 -0.432    19.22 20.85 02a57668o0170c  0.000000
57686.210170 19.491430      NaN      7    17 c    0     1.08 278.35567 44.08185  9064.28  9693.94 3.76 3.51 -81.8 -0.407    19.42 21.32 02a57686o0064c  0.411765
57686.222900 19.510313      NaN    -30    19 c    0     0.88 278.35567 44.08185  9037.30  9651.16 3.70 3.40 -76.2 -0.411    19.48 21.39 02a57686o0089c -1.578947
57686.230794 19.401649      NaN      3    20 c    0     0.92 278.35567 44.08185  9107.32  9731.46 3.71 3.38 -74.3 -0.419    19.38 21.26 02a57686o0105c  0.150000
57686.238877 19.529530      NaN      5    17 c    0     1.19 278.35567 44.08185  9120.34  9615.11 3.62 3.29 -72.6 -0.430    19.42 21.29 02a57686o0121c  0.294118
57686.253648 19.384550      NaN      7    19 c    0     0.87 278.35567 44.08185  9074.05  9670.70 3.60 3.24 -72.1 -0.436    19.39 21.19 02a57686o0151c  0.368421
57690.198371 18.369531      NaN     79    28 c    0     0.97 278.35567 44.08185   207.45 10078.10 4.09 3.77  31.9 -0.439    18.91 20.26 02a57690o0037c  2.821429
57690.202474 19.351140      NaN     -4    22 c    0     1.21 278.35567 44.08185  1022.62   229.04 4.63 4.50 -35.0 -0.364    19.09 20.83 02a57690o0045c -0.181818
57690.202984 18.878500      NaN     30    24 c    0     1.18 278.35567 44.08185   181.30 10037.21 4.97 4.30   7.4 -0.402    19.06 20.86 02a57690o0046c  1.250000
57690.206646 19.401649      NaN    -14    21 c    0     1.12 278.35567 44.08185  9716.74 10093.82 4.95 4.75  30.1 -0.366    19.22 21.16 02a57690o0053c -0.666667
57690.209232 19.569016      NaN     -7    18 c    0     1.02 278.35567 44.08185  1007.77   186.76 4.41 4.30 -34.2 -0.370    19.32 21.17 02a57690o0058c -0.388889
57690.210253 19.351140      NaN    -11    22 c    0     0.97 278.35567 44.08185   237.70 10111.18 4.55 4.15  18.2 -0.410    19.29 21.16 02a57690o0060c -0.500000
57690.214985 19.510313      NaN      0    19 c    0     1.37 278.35567 44.08185  9702.20 10052.61 4.48 4.16  74.3 -0.405    19.33 21.18 02a57690o0069c  0.000000
57690.218606 19.454622      NaN    -16    20 c    0     0.91 278.35567 44.08185  1065.14   262.47 4.60 4.43 -25.9 -0.361    19.25 21.13 02a57690o0076c -0.800000
57690.220134 19.302877      NaN    -24    23 c    0     1.02 278.35567 44.08185   265.69  9989.11 4.87 4.67  32.8 -0.407    19.15 21.09 02a57690o0079c -1.043478
57690.225895 19.212347      NaN    -21    25 c    0     0.94 278.35567 44.08185  9758.84 10133.81 4.42 4.24  30.7 -0.409    19.22 21.05 02a57690o0090c -0.840000
57690.232033 19.169763      NaN     21    19 c    0     1.06 278.35567 44.08185  1090.60   141.35 4.30 4.19 -33.4 -0.373    19.28 21.06 02a57690o0102c  1.105263
57690.234077 19.155932      NaN     10    23 c    0     0.98 278.35567 44.08185   219.22 10050.42 4.31 4.03  29.1 -0.420    19.27 21.05 02a57690o0106c  0.434783
57690.240339 19.401649      NaN    -38    21 c    0     1.03 278.35567 44.08185  9770.89 10014.52 4.39 4.07  78.1 -0.405    19.33 21.11 02a57690o0118c -1.809524
57690.240833 19.256669      NaN     12    20 c    0     1.16 278.35567 44.08185  1049.49   203.33 4.40 4.29 -37.1 -0.373    19.26 21.05 02a57690o0119c  0.600000
57690.254688 19.014394      NaN     27    21 c    0     1.17 278.35567 44.08185  9727.65 10071.42 4.30 3.95  82.5 -0.408    19.32 21.08 02a57690o0146c  1.285714
57694.199515 19.155932      NaN      7    24 c    0     1.16 278.35567 44.08185  9168.59  9577.66 4.32 4.12  25.1 -0.405    19.02 20.57 02a57694o0042c  0.291667
57694.204648 19.302877      NaN      9    20 c    0     1.10 278.35567 44.08185  9141.32  9535.91 4.20 4.06  64.2 -0.406    19.37 21.20 02a57694o0052c  0.450000
57694.212343 19.334813      NaN     13    18 c    0     0.91 278.35567 44.08185  9211.54  9616.70 4.10 3.93  72.6 -0.418    19.49 21.41 02a57694o0067c  0.722222
57694.221154 19.510313      NaN    -12    19 c    0     0.99 278.35567 44.08185  9225.57  9498.85 4.14 3.98  68.1 -0.408    19.50 21.45 02a57694o0084c -0.631579
57694.233944 19.197966      NaN     19    19 c    0     0.90 278.35567 44.08185  9180.91  9555.97 4.14 3.86  83.2 -0.412    19.50 21.43 02a57694o0109c  1.000000
57698.196909 18.606822      NaN     41    30 c    0     1.07 278.35567 44.08185   659.57  7722.75 3.92 3.58  44.5 -0.428    18.78 19.90 02a57698o0038c  1.366667
57698.198474 19.128787      NaN      0    27 c    0     1.09 278.35567 44.08185 10143.23  7783.12 3.90 3.31 -85.7 -0.405    18.98 20.28 02a57698o0041c  0.000000
57698.200019 19.142275      NaN     11    23 c    0     1.05 278.35567 44.08185   647.79  7681.23 3.92 3.59  44.1 -0.426    19.02 20.38 02a57698o0044c  0.478261
57698.203084 19.183773      NaN     11    22 c    0     1.06 278.35567 44.08185 10116.44  7742.66 3.92 3.43 -89.6 -0.411    19.21 20.73 02a57698o0050c  0.500000
57698.205664 19.155932      NaN     16    21 c    0     0.87 278.35567 44.08185   704.49  7756.49 3.93 3.61  42.7 -0.432    19.19 20.73 02a57698o0055c  0.761905
57698.210367 19.014394      NaN     27    21 c    0     1.04 278.35567 44.08185 10174.82  7822.18 4.00 3.58  85.6 -0.405    19.25 20.86 02a57698o0064c  1.285714
57698.213958 19.454622      NaN     -1    20 c    0     1.16 278.35567 44.08185   719.27  7637.36 3.97 3.67  44.0 -0.422    19.21 20.78 02a57698o0071c -0.050000
57698.220109 19.510313      NaN    -22    19 c    0     1.11 278.35567 44.08185 10202.35  7705.46 3.98 3.57  86.2 -0.414    19.25 20.86 02a57698o0083c -1.157895
57698.224251 18.967180      NaN     40    18 c    0     1.24 278.35567 44.08185   689.50  7696.31 3.88 3.58  45.0 -0.431    19.21 20.76 02a57698o0091c  2.222222
