,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
503,59354.36962,-20.112,0.419,-33,14,o,0,0.93,208.59412,-5.35705,738.05,7668.87,1.99,1.81,-45.2,-0.463,19.3,20.09,02a59354o0278o
504,59354.376959,22.671,4.5,3,14,o,0,1.47,208.59412,-5.35705,797.55,7746.89,2.07,1.88,-55.2,-0.472,19.29,20.1,02a59354o0294o
505,59354.397263,21.102,1.171,13,15,o,0,1.07,208.59412,-5.35705,812.74,7631.72,2.02,1.92,-50.6,-0.457,19.27,20.09,02a59354o0337o
506,59360.436229,-20.502,0.65,-23,15,o,0,1.03,208.59412,-5.35705,7682.56,9537.81,1.99,1.74,88.1,-0.383,19.38,19.93,01a59360o0301o
507,59360.440374,-20.407,0.399,-25,10,o,0,1.42,208.59412,-5.35705,7701.04,9577.08,2.0,1.69,-86.8,-0.38,19.46,20.12,01a59360o0310o
508,59360.447294,-21.316,0.859,-11,9,o,0,1.48,208.59412,-5.35705,7641.85,9499.22,1.99,1.68,-87.6,-0.393,19.59,20.35,01a59360o0325o
509,59360.482959,-22.462,3.512,-4,13,o,0,1.51,208.59412,-5.35705,7621.05,9622.71,2.15,1.95,-83.1,-0.373,19.38,20.23,01a59360o0401o
510,59361.4253,22.175,9.386,5,46,o,0,0.92,208.59412,-5.35705,747.9,7709.68,2.01,1.96,61.5,-0.44,18.06,18.27,02a59361o0406o
511,59361.428958,19.366,0.768,65,50,o,0,1.71,208.59412,-5.35705,729.28,7670.12,1.98,1.89,-63.5,-0.477,17.88,17.93,02a59361o0414o
512,59361.434617,19.239,1.032,73,76,o,0,2.12,208.59412,-5.35705,787.32,7747.85,2.16,1.99,46.5,-0.458,17.69,17.81,02a59361o0426o
513,59361.44533,21.017,3.697,14,53,o,0,1.19,208.59412,-5.35705,807.5,7630.94,1.99,1.9,-63.8,-0.665,18.13,18.33,02a59361o0449o
514,59362.408176,20.792,1.153,18,20,o,0,1.23,208.59412,-5.35705,9228.1,3160.57,2.03,1.92,-61.3,-0.437,18.89,19.33,02a59362o0376o
515,59362.412326,-20.793,1.063,-18,19,o,0,1.34,208.59412,-5.35705,9209.03,3120.19,2.08,1.88,-63.0,-0.441,18.82,19.3,02a59362o0385o
516,59362.422924,-20.659,1.407,-20,28,o,0,0.89,208.59412,-5.35705,9268.73,3198.19,2.1,1.89,-59.3,-0.44,18.78,19.25,02a59362o0408o
517,59362.429348,-19.986,0.61,-37,22,o,0,1.21,208.59412,-5.35705,9290.18,3081.06,2.06,1.9,-62.2,-0.433,18.81,19.23,02a59362o0422o
