,ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
35,119844,SN 2022aaan,21:42:38.048,-31:27:45.68,SN IIn,0.111,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS22blsb,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03",ESO-NTT - EFOSC2-NTT,1,1,,18.637,orange-ATLAS,2022-11-11 19:38:27.168,ATLAS_Bot1,,2022TNSTR3292....1T,2022TNSCR3336....1I,
36,118777,SN 2022ymi,19:31:00.607,+48:20:55.24,SN IIn,0.021,,,ATLAS,ATLAS,,ATLAS,ATLAS22bjxv,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01",NOT - ALFOSC,1,1,,18.567,cyan-ATLAS,2022-10-23 06:24:13.248,ATLAS_Bot1,,2022TNSTR3083....1T,2022TNSCR3156....1V,
37,115336,SN 2022tpe,03:46:09.563,-40:20:17.89,SN IIn,0.055,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS22beaa,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03",ESO-NTT - EFOSC2-NTT,1,1,,19.27,orange-ATLAS,2022-09-03 23:36:19.584,ATLAS_Bot1,,2022TNSTR2592....1T,2022TNSCR2660....1T,
38,114539,SN 2022sks,20:16:23.560,-51:05:05.89,SN IIn,0.076,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",ePESSTO+,ATLAS; GaiaAlerts,ATLAS22bcgi,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,18.974,orange-ATLAS,2022-08-22 22:49:43.680,ATLAS_Bot1,,2022TNSTR2493....1T,2022TNSCR2571....1P,
39,113782,SN 2022ria,13:43:56.050,-08:42:32.44,SN IIn,0.07,,,"ATLAS, GaiaAlerts, ALeRCE, Pan-STARRS","ATLAS, GaiaAlerts, ZTF, Pan-STARRS",ZTF,ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS,ATLAS22zwo,"ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2",LT - SPRAT,1,1,,19.097,orange-ATLAS,2022-08-16 00:48:30.816,ATLAS_Bot1,,2022TNSTR2339....1T,2023TNSCR..55....1H,
40,113209,SN 2022qml,22:29:45.502,+13:38:24.11,SN IIn,0.046,,,"ATLAS, Pan-STARRS, ALeRCE","ATLAS, Pan-STARRS, ZTF",ePESSTO+,ALeRCE; ATLAS; Pan-STARRS,ATLAS22yti,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2",ESO-NTT - EFOSC2-NTT,1,1,,18.137,cyan-ATLAS,2022-08-02 12:43:17.184,ATLAS_Bot1,,2022TNSTR2193....1T,2022TNSCR2488....1G,
41,112186,SN 2022ozx,19:38:50.430,-50:11:33.76,SN IIn,0.057,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",ePESSTO+,ATLAS; GaiaAlerts,ATLAS22vew,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,17.746,orange-ATLAS,2022-07-17 22:56:33.216,ATLAS_Bot1,,2022TNSTR2014....1T,2022TNSCR2407....1A,
42,112107,SN 2022owx,14:24:36.230,+04:33:30.49,SN IIn,0.025984,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",SCAT,ATLAS; GaiaAlerts,ATLAS22uze,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric",UH88 - SNIFS,1,1,,18.322,orange-ATLAS,2022-07-16 07:10:23.232,ATLAS_Bot1,,2022TNSTR1992....1T,2022TNSCR2018....1H,
43,112098,SN 2022owp,13:32:43.740,+00:40:52.07,SN IIn,0.08,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",SCAT,ATLAS; GaiaAlerts,ATLAS22uxt,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric",UH88 - SNIFS,1,1,,18.577,orange-ATLAS,2022-07-16 06:13:35.616,ATLAS_Bot1,,2022TNSTR1992....1T,2022TNSCR2018....1H,
44,111427,SN 2022nxg,15:37:06.492,+33:57:25.82,SN IIn,0.106,,,ATLAS,ATLAS,Global SN Project,ATLAS,ATLAS22sfg,ATLAS-HKO - ATLAS-02,Lick-3m - KAST,1,1,,19.197,cyan-ATLAS,2022-06-28 08:00:59.328,ATLAS_Bot1,,2022TNSTR1810....1T,2023TNSCR3068....1L,
