"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"47986","SN 2019unf","03:14:25.339","+07:41:45.10","SN IIn","0.1115","","","ATLAS","ATLAS","ZTF","ATLAS","ATLAS19bahj","ATLAS-MLO - ATLAS-01","","1","1","","19.416","orange-ATLAS","2019-11-02 08:51:21.000","ATLAS_Bot1","","2019TNSTR2332....1T","2020TNSCR2662....1Y",""
"47360","SN 2019tpl","01:00:00.681","-03:06:30.32","SN IIn","0.076","","","ATLAS, ZTF","ATLAS, ZTF","ePESSTO+, SCAT, ZTF","ATLAS; ZTF","ATLAS19zfu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT, P60 - SEDM, UH88 - SNIFS","1","1","","18.411","orange-ATLAS","2019-10-28 08:52:48.000","ATLAS_Bot1","","2019TNSTR2217....1T","2019TNSCR2272....1C, 2019TNSCR2882....1D, 2019TNSCR2889....1D",""
"47157","SN 2019ths","00:28:01.331","-04:33:16.78","SN IIn","0.166","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS","ATLAS19ytu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.057","orange-ATLAS","2019-10-24 08:54:14.000","ATLAS_Bot1","","2019TNSTR2179....1T","2019TNSCR2209....1L",""
"46270","SN 2019sae","02:45:04.642","+26:04:17.19","SN IIn","0.048","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS","ATLAS19xlf","ATLAS-MLO - ATLAS-01, PS1 - GPC1, PS2 - GPC2","Keck1 - LRIS","1","1","","19.374","orange-ATLAS","2019-10-05 12:48:57.000","ATLAS_Bot1","","2019TNSTR1994....1T","2020TNSCR2553....1D",""
"45122","SN 2019qif","17:31:41.789","+00:16:44.89","SN IIn","0.076","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS19vfb","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P200 - DBSP","1","1","","18.523","orange-ATLAS","2019-09-18 07:30:43.000","ATLAS_Bot1","","2019TNSTR1858....1T","2020TNSCR.601....1D",""
"44617","SN 2019pox","23:33:16.529","+74:56:06.08","SN IIn","0.0674","","","ATLAS","ATLAS","ZTF","ATLAS","ATLAS19usw","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.637","orange-ATLAS","2019-09-06 12:53:16.000","ATLAS_Bot1","","2019TNSTR1759....1T","2020TNSCR2649....1Y",""
"44399","SN 2019pgu","16:18:42.839","+67:54:00.40","SN IIn","0.1055","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS19ufb","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P200 - DBSP","1","1","","19.332","cyan-ATLAS","2019-09-02 05:51:21.000","ATLAS_Bot1","","2019TNSTR1694....1T","2020TNSCR.601....1D",""
"42687","SN 2019mtk","00:54:58.540","+44:05:24.54","SN IIn","0.084","","","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS19rmq","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.269","cyan-ATLAS","2019-08-05 14:36:57.000","ATLAS_Bot1","","2019TNSTR1424....1T","2020TNSCR..91....1D",""
"42238","SN 2019mce","15:02:36.070","+05:09:22.97","SN IIn","0.072","","","ATLAS, GaiaAlerts, ZTF","ATLAS, GaiaAlerts, ZTF","ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS19qsu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P200 - DBSP","1","1","","19.518","cyan-ATLAS","2019-07-30 07:33:36.000","ATLAS_Bot1","","2019TNSTR1373....1T","2019TNSCR1766....1F",""
"42026","SN 2019lub","20:23:00.754","-49:31:14.95","SN IIn","0.066","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS19pvd","ATLAS-HKO - ATLAS-02","ESO-NTT - EFOSC2-NTT","1","1","","18.801","orange-ATLAS","2019-07-25 09:34:33.000","ATLAS_Bot1","","2019TNSTR1327....1T","2019TNSCR1379....1A",""
"41338","SN 2019kud","14:44:29.730","+33:59:10.03","SN IIn","0.032412","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS19orj","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","18.977","orange-ATLAS","2019-07-07 08:34:04.000","ATLAS_Bot1","","2019TNSTR1168....1T","2019TNSCR1215....1D",""
"40933","SN 2019kep","01:10:20.430","-09:34:29.06","SN IIn","0.02388","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS19oil","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","18.049","cyan-ATLAS","2019-07-02 14:13:55.000","ATLAS_Bot1","","2019TNSTR1130....1T","2019TNSCR1774....1F",""
"39591","SN 2019ifr","21:59:18.542","-06:59:37.80","SN IIn","0.058093","","","ATLAS, Pan-STARRS, ZTF","ATLAS, Pan-STARRS, ZTF","TCD","ATLAS; Pan-STARRS; ZTF","ATLAS19nue","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","LT - SPRAT","1","1","","19.144","orange-ATLAS","2019-06-26 13:03:21.000","ATLAS_Bot1","","2019TNSTR1083....1T","2019TNSCR1104....1P",""
"35208","SN 2019bwb","10:48:26.400","-45:41:31.20","SN IIn","0.02","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","ePESSTO","ATLAS; GaiaAlerts","ATLAS19dzi","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric","ESO-NTT - EFOSC2-NTT","1","1","","18.285","orange-ATLAS","2019-03-17 10:01:55.000","ATLAS_Bot1","","2019TNSTR.399....1T","2019TNSCR.417....1B",""
"34377","SN 2019aqo","12:49:21.870","+48:00:10.30","SN IIn","0.058","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS19deo","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","","1","1","","19.05","orange-ATLAS","2019-02-08 14:45:36.000","ATLAS_Bot1","","2019TNSTR.217....1T","2020TNSCR2634....1Y",""
"33525","SN 2019lr","08:12:34.850","-20:27:38.46","SN IIn","0.054","","","ATLAS, ZTF","ATLAS, ZTF","None","ATLAS; ZTF","ATLAS19anu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","LT - SPRAT","1","1","","19.093","cyan-ATLAS","2019-01-02 12:43:12.000","ATLAS_Bot1","","2019TNSTR..55....1T","2019TNSCR..93....1P",""
"31876","SN 2018jmn","09:39:36.277","+30:12:41.70","SN IIn","0.09","","","ATLAS","ATLAS","ZTF","ATLAS","ATLAS18baig","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","","1","1","","19.427","cyan-ATLAS","2018-12-03 14:22:33.000","ATLAS_Bot1","","2018TNSTR1884....1T","2020TNSCR2635....1Y",""
"31641","SN 2018jdo","02:17:48.710","+35:48:29.14","SN IIn","0.039","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS18znn","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","","1","1","","18.709","orange-ATLAS","2018-11-27 09:47:31.000","ATLAS_Bot1","","2018TNSTR1830....1T","2018TNSCR1886....1F",""
"31064","SN 2018ihm","18:44:14.010","+32:07:39.00","SN IIn","0.055","","","ATLAS, ZTF, GaiaAlerts","ATLAS, ZTF, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS18yrh","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam","","1","1","","18.32","cyan-ATLAS","2018-11-09 05:52:48.000","ATLAS_Bot1","","2018TNSTR1746....1T","2018TNSCR1870....1F",""
