ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
99171,SN 2022zi,59:33.8,-58:19:28.39,SN IIn,0.035,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS22cbh,ATLAS-STH - ATLAS-03,ESO-NTT - EFOSC2-NTT,1,1,,16.714,orange-ATLAS,20:09.6,ATLAS_Bot1,,2022TNSTR.138....1T,2022TNSCR.184....1P,
98458,SN 2022K,46:04.9,-02:13:16.54,SN IIn,0.035,,,"ATLAS, Pan-STARRS, YSE, ALeRCE","ATLAS, Pan-STARRS, ZTF",ePESSTO+,ALeRCE; ATLAS; Pan-STARRS; YSE,ATLAS22aff,"ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2",ESO-NTT - EFOSC2-NTT,1,1,,18.84,orange-ATLAS,25:55.2,ATLAS_Bot1,,2022TNSTR...5....1T,2022TNSCR.112....1R,
97628,SN 2021agji,27:05.9,+24:06:26.90,SN IIn,0.0215,,,"ATLAS, Pan-STARRS, YSE, ALeRCE","ATLAS, Pan-STARRS, ZTF",None,ALeRCE; ATLAS; Pan-STARRS; YSE,ATLAS21bnkm,"ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2",Lijiang-2.4m - YFOSC,1,1,,18.425,orange-ATLAS,56:38.4,ATLAS_Bot1,,2021TNSTR4162....1T,2021TNSCR4178....1Z,
95203,SN 2021acya,02:13.8,-28:23:29.72,SN IIn,0.063,,,"ATLAS, GaiaAlerts, Pan-STARRS, BlackGEM","ATLAS, GaiaAlerts, Pan-STARRS, BlackGEM",ePESSTO+,ATLAS; BlackGEM; GaiaAlerts; Pan-STARRS,ATLAS21blfc,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, ML1 - MeerLICHT-Cam, PS2 - GPC2",ESO-NTT - EFOSC2-NTT,1,1,,18.124,orange-ATLAS,41:45.6,ATLAS_Bot1,,2021TNSTR3717....1T,2021TNSCR4027....1R,
94291,SN 2021abqf,27:31.9,-32:59:44.59,SN IIn,0.058,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",ePESSTO+,ATLAS; GaiaAlerts,ATLAS21bkfu,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,18.533,orange-ATLAS,41:16.8,ATLAS_Bot1,,2021TNSTR3538....1T,2021TNSCR3803....1R,
93324,SN 2021aaft,22:08.1,-35:52:51.85,SN IIn,0.03,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",ePESSTO+,ATLAS; GaiaAlerts,ATLAS21bjlm,"ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,17.989,orange-ATLAS,45:36.0,ATLAS_Bot1,,2021TNSTR3379....1T,2021TNSCR3405....1B,
91010,SN 2021wwp,48:34.0,-20:12:18.58,SN IIn,0.027776,,,"ATLAS, MASTER, GaiaAlerts","ATLAS, MASTER, GaiaAlerts",SCAT,ATLAS; GaiaAlerts; MASTER,ATLAS21bgsx,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, Other - Other",UH88 - SNIFS,1,1,,18.438,orange-ATLAS,45:07.2,ATLAS_Bot1,,2021TNSTR2922....1T,2021TNSCR2941....1H,
90633,SN 2021wil,25:45.5,-33:13:20.57,SN IIn,0.048,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",SCAT,ATLAS; GaiaAlerts,ATLAS21bgnh,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric",UH88 - SNIFS,1,1,,18.96,cyan-ATLAS,17:45.6,ATLAS_Bot1,,2021TNSTR2849....1T,2021TNSCR2941....1H,
90402,SN 2021vzp,47:35.6,+02:52:58.45,SN IIn,0.031,,,"ATLAS, ZTF, Fink, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ePESSTO+, ZTF",ATLAS; Fink; Pan-STARRS; ZTF,ATLAS21bgaw,"ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT, P200 - DBSP",1,1,,19.107,cyan-ATLAS,11:02.4,ATLAS_Bot1,,2021TNSTR2818....1T,"2021TNSCR3182....1D, 2021TNSCR3187....1C",
89502,SN 2021uru,52:22.7,-18:41:47.52,SN IIn,0.054,,,"ATLAS, ALeRCE, Pan-STARRS","ATLAS, ZTF, Pan-STARRS",SCAT,ALeRCE; ATLAS; Pan-STARRS,ATLAS21bcsh,"ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2",UH88 - SNIFS,1,1,,17.955,orange-ATLAS,18:14.4,ATLAS_Bot1,,2021TNSTR2665....1T,2021TNSCR2720....1T,
