reqId	ra	dec	startJD	endJD	created	started	ended	machine	exitcode	lightcurve
387593	318.290858333333	12.8433416666667	2459761.695208	2460361.695208	2024-09-29 09:55:42.028403	2024-09-29 10:33:05.60064	2024-09-29 10:55:09.833939	35	57	/ztf/ops/forcedphot/lc/0/387/req387593/cksum0120f46a2d7adf601980a3fefcfe3cc6/forcedphotometry_req00387593_lc.txt
387594	255.463070833333	13.9850444444444	2460289.967847	2460889.967847	2024-09-29 09:55:42.260867	2024-09-29 10:32:07.99755	2024-09-29 10:37:20.157007	40	56	/ztf/ops/forcedphot/lc/0/387/req387594/cksumc5aca6f8ad2267d8f5e5421760424956/forcedphotometry_req00387594_lc.txt
387595	100.806954166667	43.3796138888889	2459589.675174	2460189.675174	2024-09-29 09:55:42.394464	2024-09-29 10:32:09.744781	2024-09-29 10:43:46.720075	41	61	/ztf/ops/forcedphot/lc/0/387/req387595/cksum1f0043f1735776670e4d8e40df32e978/forcedphotometry_req00387595_lc.txt
387596	104.251716666667	30.9818694444444	2460187.774664	2460787.774664	2024-09-29 09:55:42.443332	2024-09-29 10:32:07.758765	2024-09-29 10:37:33.602936	50	0	/ztf/ops/forcedphot/lc/0/387/req387596/cksum5cedf0baf7cf2a14628ef8eeca85c96a/forcedphotometry_req00387596_lc.txt
387597	307.057625	51.2152833333333	2460012.883000	2460612.883000	2024-09-29 09:55:42.53024	2024-09-29 10:32:08.007158	2024-09-29 11:09:55.839834	51	61	/ztf/ops/forcedphot/lc/0/387/req387597/cksum42b884d54741e4f247f2c09c93778491/forcedphotometry_req00387597_lc.txt
387598	70.6379166666667	-15.2778333333333	2460151.916898	2460751.916898	2024-09-29 09:55:42.606486	2024-09-29 10:34:58.495352	2024-09-29 10:40:22.842452	37	61	/ztf/ops/forcedphot/lc/0/387/req387598/cksumfc6cf02f166ea9e4302bdfc6ee178cf4/forcedphotometry_req00387598_lc.txt
387599	16.2846666666667	22.0841888888889	2459997.962000	2460597.962000	2024-09-29 09:56:42.756891	2024-09-29 10:34:50.45918	2024-09-29 10:40:36.661455	42	0	/ztf/ops/forcedphot/lc/0/387/req387599/cksumb18874f21e71f05b72c032c2b625afc4/forcedphotometry_req00387599_lc.txt
387600	32.1383333333333	52.8267694444444	2459793.906000	2460393.906000	2024-09-29 09:56:42.84803	2024-09-29 10:34:50.501441	2024-09-29 10:42:24.266329	43	56	/ztf/ops/forcedphot/lc/0/387/req387600/cksumafdf920b5ecd0c7eff9e008651934a83/forcedphotometry_req00387600_lc.txt
387601	255.706458333333	-21.8023111111111	2459703.673000	2460303.673000	2024-09-29 09:56:42.953361	2024-09-29 10:35:59.073465	2024-09-29 10:42:14.063847	39	0	/ztf/ops/forcedphot/lc/0/387/req387601/cksum7fc6a7260bb1a86a8a683d20ca69baef/forcedphotometry_req00387601_lc.txt
387602	187.630479166667	-19.0783694444444	2459590.797940	2460190.797940	2024-09-29 09:56:43.029659	2024-09-29 10:35:59.743913	2024-09-29 10:39:16.900712	44	56	/ztf/ops/forcedphot/lc/0/387/req387602/cksumce813891b03468a071f31934b1af1fab/forcedphotometry_req00387602_lc.txt
387603	219.756208333333	15.9865805555556	2459640.712245	2460240.712245	2024-09-29 09:56:43.103317	2024-09-29 10:35:58.887724	2024-09-29 11:01:12.045225	46	61	/ztf/ops/forcedphot/lc/0/387/req387603/cksum322268bcaf96947308ba8d28ff2794bb/forcedphotometry_req00387603_lc.txt
387604	263.1412625	43.2741277777778	2459634.819178	2460234.819178	2024-09-29 09:56:43.224431	2024-09-29 10:35:58.965651	2024-09-29 10:55:42.790762	49	0	/ztf/ops/forcedphot/lc/0/387/req387604/cksumde54b7a5591dae4aed3cf6726f519562/forcedphotometry_req00387604_lc.txt
387605	104.734333333333	39.6352611111111	2459790.007000	2460390.007000	2024-09-29 09:56:43.346518	2024-09-29 10:37:57.41293	2024-09-29 10:46:38.976626	53	57	/ztf/ops/forcedphot/lc/0/387/req387605/cksumf1ddfefeece5bdd8767723f477ee98db/forcedphotometry_req00387605_lc.txt
387606	266.520166666667	42.2762805555556	2459573.887049	2460173.887049	2024-09-29 09:56:43.409966	2024-09-29 10:37:57.239261	2024-09-29 10:48:04.773839	54	56	/ztf/ops/forcedphot/lc/0/387/req387606/cksum35e103cc89f1a3b66050ed11d6843b56/forcedphotometry_req00387606_lc.txt
387607	290.18425	46.8818833333333	2459663.886000	2460263.886000	2024-09-29 09:56:43.52653	2024-09-29 10:38:26.368091	2024-09-29 10:53:22.201261	35	57	/ztf/ops/forcedphot/lc/0/387/req387607/cksum0c95b0cdbdca7332763a2ffa8e8cf5ff/forcedphotometry_req00387607_lc.txt
387608	145.633233333333	7.09996666666667	2459750.018194	2460350.018194	2024-09-29 09:56:43.629822	2024-09-29 10:38:00.723356	2024-09-29 10:45:56.783487	37	0	/ztf/ops/forcedphot/lc/0/387/req387608/cksumc2c846bf716af7e79a08219ebfc6c3e3/forcedphotometry_req00387608_lc.txt
387609	14.4637708333333	9.63131111111111	2459422.762000	2460022.762000	2024-09-29 09:56:43.72881	2024-09-29 10:37:57.334709	2024-09-29 10:51:00.645561	38	56	/ztf/ops/forcedphot/lc/0/387/req387609/cksumb21771b15b64baff67011d34e65b90c7/forcedphotometry_req00387609_lc.txt
387610	213.0643	34.391475	2459682.746366	2460282.746366	2024-09-29 09:56:43.800072	2024-09-29 10:40:09.681846	2024-09-29 10:46:57.247838	33	61	/ztf/ops/forcedphot/lc/0/387/req387610/cksum6c1f17aac9560216c2022e2a7ce0f9a4/forcedphotometry_req00387610_lc.txt
387611	84.2937833333333	68.57555	2459739.826000	2460339.826000	2024-09-29 09:56:43.889176	2024-09-29 10:40:13.835841	2024-09-29 10:53:12.791086	34	61	/ztf/ops/forcedphot/lc/0/387/req387611/cksum42310b7cbfd19aa303dfc4866f1e3e03/forcedphotometry_req00387611_lc.txt
387612	304.34525	-20.5754111111111	2459984.900000	2460584.900000	2024-09-29 09:56:43.973193	2024-09-29 10:40:09.310716	2024-09-29 10:51:38.221274	40	0	/ztf/ops/forcedphot/lc/0/387/req387612/cksum7c67b051f303d84e26a4e20fc6dd129f/forcedphotometry_req00387612_lc.txt
387613	356.388833333333	29.6405305555556	2459663.951990	2460263.951990	2024-09-29 09:56:44.083856	2024-09-29 10:40:08.904894	2024-09-29 11:18:33.232167	50	61	/ztf/ops/forcedphot/lc/0/387/req387613/cksumaecd5b5f5bab002bcccf5c2d2550d69d/forcedphotometry_req00387613_lc.txt
387614	68.96425	-13.32725	2459726.949000	2460326.949000	2024-09-29 09:56:44.185227	2024-09-29 10:42:20.64439	2024-09-29 10:59:01.898446	42	61	/ztf/ops/forcedphot/lc/0/387/req387614/cksum660163bbaca310b146d3a0ed68e1c1d3/forcedphotometry_req00387614_lc.txt
387615	22.0801083333333	20.3959222222222	2459685.948102	2460285.948102	2024-09-29 09:56:44.262321	2024-09-29 10:42:20.496463	2024-09-29 10:50:12.918536	44	0	/ztf/ops/forcedphot/lc/0/387/req387615/cksum91a14b11735445c1b3ee3b3948570053/forcedphotometry_req00387615_lc.txt
387616	252.759875	30.6645388888889	2459642.861111	2460242.861111	2024-09-29 09:56:45.522659	2024-09-29 10:42:22.463037	2024-09-29 11:16:45.771507	52	57	/ztf/ops/forcedphot/lc/0/387/req387616/cksum2120d8eeeb0f183e78b01d5355987990/forcedphotometry_req00387616_lc.txt
387617	324.983625	24.6596277777778	2459977.921000	2460577.921000	2024-09-29 09:56:45.597328	2024-09-29 10:45:55.846558	2024-09-29 10:55:25.537077	33	56	/ztf/ops/forcedphot/lc/0/387/req387617/cksum75b0daced48ed1ca7572f7d9c34db101/forcedphotometry_req00387617_lc.txt
387618	232.5064	12.9875416666667	2459871.950000	2460471.950000	2024-09-29 09:56:45.665121	2024-09-29 10:45:56.324636	2024-09-29 11:00:13.915678	44	56	/ztf/ops/forcedphot/lc/0/387/req387618/cksumc6a21fca7be13805977638a2fc93119d/forcedphotometry_req00387618_lc.txt
387619	261.2905	67.8293805555555	2459725.788000	2460325.788000	2024-09-29 09:56:45.739384	2024-09-29 10:45:55.856783	2024-09-29 10:56:13.625606	33	0	/ztf/ops/forcedphot/lc/0/387/req387619/cksum880a17869357dd6ed9baff59e189e9a1/forcedphotometry_req00387619_lc.txt
387620	202.265229166667	-10.424825	2459949.844000	2460549.844000	2024-09-29 09:56:45.834819	2024-09-29 10:45:56.317345	2024-09-29 10:50:05.991071	44	57	/ztf/ops/forcedphot/lc/0/387/req387620/cksum2f2d90b093cc60a80c6a57ca8b7dbe43/forcedphotometry_req00387620_lc.txt
387621	289.208375	45.9551805555556	2459663.821169	2460263.821169	2024-09-29 09:56:46.150699	2024-09-29 10:45:55.827866	2024-09-29 10:58:52.002221	33	0	/ztf/ops/forcedphot/lc/0/387/req387621/cksumf4cc6411f7625b7964cdc2a9aaa708d6/forcedphotometry_req00387621_lc.txt
387622	215.704220833333	-13.2752	2459852.030000	2460452.030000	2024-09-29 09:56:46.207244	2024-09-29 10:49:29.668609	2024-09-29 10:55:18.473232	48	61	/ztf/ops/forcedphot/lc/0/387/req387622/cksumc61c07ead2b7d2776af52320a771b187/forcedphotometry_req00387622_lc.txt
387623	274.7978875	41.0173583333333	2459637.829630	2460237.829630	2024-09-29 09:56:46.29107	2024-09-29 10:49:29.967312	2024-09-29 11:01:20.207289	48	61	/ztf/ops/forcedphot/lc/0/387/req387623/cksum3407e2d3574fd7217bff460c08898907/forcedphotometry_req00387623_lc.txt
