         MJD         m       dm   uJy  duJy F  err   chi/N     RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN
57577.355161 19.609992      NaN     1    17 c    0    0.78 253.49 -9.70757  7812.08  9863.89 4.03 3.77  72.0 -0.429    19.62 21.60 02a57577o0230c   0.058824
57577.359206 19.510313      NaN   -13    19 c    0    1.02 253.49 -9.70757  1001.09   154.60 5.29 3.78 -21.2 -0.467    19.64 21.71 02a57577o0238c  -0.684211
57577.366286 19.631075      NaN    -4    17 c    0    1.08 253.49 -9.70757  7792.63  9826.40 4.11 3.77  79.0 -0.423    19.60 21.60 02a57577o0252c  -0.235294
57577.370810 19.454622      NaN    -4    20 c    0    0.90 253.49 -9.70757  1061.70   235.09 5.19 3.68 -20.7 -0.472    19.65 21.69 02a57577o0261c  -0.200000
57577.378356 19.631075      NaN     0    17 c    0    0.93 253.49 -9.70757  7851.43  9908.40 4.11 3.81  81.1 -0.419    19.59 21.60 02a57577o0276c   0.000000
57577.382873 19.454622      NaN   -22    20 c    0    0.85 253.49 -9.70757  1081.39   117.99 5.27 3.73 -21.5 -0.464    19.65 21.70 02a57577o0285c  -1.100000
57577.390370 19.510313      NaN   -16    19 c    0    0.84 253.49 -9.70757  7871.34  9793.44 4.23 3.88  85.3 -0.410    19.56 21.60 02a57577o0300c  -0.842105
57577.394909 19.401649      NaN   -26    21 c    0    0.85 253.49 -9.70757  1045.25   179.96 5.30 3.83 -20.9 -0.453    19.61 21.67 02a57577o0309c  -1.238095
57577.402835 19.351140      NaN    12    18 c    0    0.91 253.49 -9.70757  7831.05  9851.58 4.19 3.84  86.3 -0.418    19.56 21.57 02a57577o0324c   0.666667
57601.303882 19.241693      NaN    16    19 c    0    0.96 253.49 -9.70757  1804.16  2289.04 4.57 3.56 -22.6 -0.475    19.52 21.39 02a57601o0131c   0.842105
57601.315011 19.569016      NaN   -42    18 c    0    1.01 253.49 -9.70757  1785.63  2249.55 4.68 3.67 -23.2 -0.461    19.51 21.42 02a57601o0153c  -2.333333
57601.326605 19.367717      NaN    11    18 c    0    1.06 253.49 -9.70757  1844.90  2327.32 4.64 3.59 -23.9 -0.472    19.52 21.41 02a57601o0176c   0.611111
57601.337788 19.142275      NaN    26    18 c    0    1.31 253.49 -9.70757  1867.12  2207.98 4.63 3.54 -22.8 -0.477    19.45 21.35 02a57601o0198c   1.444444
57601.349468 19.436675      NaN     7    18 c    0    1.13 253.49 -9.70757  1830.85  2267.14 4.68 3.61 -23.4 -0.475    19.53 21.47 02a57601o0221c   0.388889
57602.323752 19.102305      NaN    17    22 c    0    0.87 253.49 -9.70757 10159.59  1898.18 5.01 4.01  44.0 -0.491    19.57 21.56 02a57602o0154c   0.772727
57602.325814 19.271854      NaN    11    20 c    0    0.82 253.49 -9.70757   467.60  1966.59 5.27 3.68 -28.7 -0.468    19.55 21.55 02a57602o0158c   0.550000
57602.335205 18.615142      NaN    61    23 c    0    0.83 253.49 -9.70757 10218.31  1974.59 5.09 4.03  46.3 -0.496    19.58 21.58 02a57602o0176c   2.652174
57602.346634 18.967180      NaN    28    22 c    0    1.09 253.49 -9.70757 10239.77  1856.95 5.13 4.08  43.6 -0.494    19.57 21.57 02a57602o0198c   1.272727
57602.348261 19.510313      NaN   -15    19 c    0    1.12 253.49 -9.70757   451.01  1906.29 5.23 3.66 -27.2 -0.469    19.56 21.56 02a57602o0201c  -0.789474
57602.357656 19.351140      NaN   -16    22 c    0    0.94 253.49 -9.70757 10201.82  1917.60 5.11 4.05  44.3 -0.479    19.56 21.57 02a57602o0219c  -0.727273
57603.301862 19.491430      NaN     4    18 c    0    1.25 253.49 -9.70757   791.97  2536.95 4.87 3.63 -29.7 -0.480    19.52 21.46 02a57603o0132c   0.222222
