,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
472,59526.443644,20.966,0.568,15,8,c,0,1.51,66.66112,-11.89603,3828.45,1785.22,2.39,2.34,-72.6,-0.402,19.67,21.51,02a59526o0569c
473,59526.449462,22.829,3.286,3,9,c,0,0.99,66.66112,-11.89603,3767.6,1708.12,2.41,2.37,-64.0,-0.399,19.67,21.5,02a59526o0581c
474,59526.45773,-22.771,3.0,-3,8,c,0,1.25,66.66112,-11.89603,3744.97,1824.69,2.36,2.33,81.7,-0.397,19.7,21.49,02a59526o0599c
475,59527.390172,-22.224,3.222,-5,15,o,0,1.17,66.66112,-11.89603,4862.6,8933.24,3.31,3.3,-61.4,-0.403,19.08,20.85,01a59527o0454o
476,59527.394851,20.583,0.74,21,16,o,0,1.18,66.66112,-11.89603,4842.11,8894.5,3.61,3.48,39.9,-0.372,19.05,20.84,01a59527o0464o
477,59527.401781,-22.185,3.467,-5,17,o,0,1.08,66.66112,-11.89603,4902.73,8970.36,3.91,3.84,72.1,-0.32,18.94,20.85,01a59527o0479o
478,59527.424748,24.06,16.5,1,14,o,0,1.08,66.66112,-11.89603,4919.94,8845.42,3.1,3.04,-21.8,-0.423,19.21,20.93,01a59527o0528o
479,59528.492613,22.697,4.143,3,12,o,0,1.01,66.66112,-11.89603,7603.29,3571.5,2.9,2.78,-53.1,-0.456,19.19,20.8,01a59528o0685o
480,59528.496311,-21.112,2.226,-13,29,o,0,0.86,66.66112,-11.89603,7623.96,3609.68,3.1,2.95,-53.0,-0.444,18.47,20.07,01a59528o0693o
481,59528.503749,-21.97,3.391,-6,20,o,0,1.01,66.66112,-11.89603,7565.27,3533.59,3.03,2.9,-56.0,-0.445,18.98,20.51,01a59528o0709o
482,59528.539306,-16.262,1.069,-1136,1214,o,0,0.81,66.66112,-11.89603,7555.31,3652.02,3.04,2.97,-69.5,-0.473,16.91,18.37,01a59528o0785o
483,59528.650657,21.022,3.783,14,54,o,0,1.26,66.66112,-11.89603,7600.31,3621.94,3.37,3.31,-13.6,-0.44,17.7,18.1,01a59528o1021o
