         MJD         m       dm    uJy  duJy F  err   chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57755.357499 19.841877      NaN    6.5    14 c    0    1.05 58.62571 -34.66868  1961.62  2172.87 3.86 3.83 -50.9 -0.388    19.66 21.62 02a57755o0317c 0xc00800        10.5
57755.371023 19.766969      NaN  -13.5    15 c    0    1.41 58.62571 -34.66868  1979.65  2055.90 3.86 3.82 -68.2 -0.390    19.67 21.64 02a57755o0343c 0xc00800        10.5
57755.383794 19.696897      NaN  -26.5    16 c    0    1.11 58.62571 -34.66868  1949.77  2113.08 3.92 3.86 -57.3 -0.390    19.65 21.63 02a57755o0367c 0xc00800        10.5
57779.284656 19.436675      NaN   17.5    18 c    0    0.82 58.62571 -34.66868  1404.52  2463.41 4.27 4.08  79.5 -0.368    19.58 21.68 02a57779o0136c 0xc00800        10.5
57779.297220 19.696897      NaN  -18.5    16 c    0    1.13 58.62571 -34.66868  1390.36  2422.28 4.19 3.96  81.7 -0.373    19.61 21.68 02a57779o0160c 0xc00800        10.5
57779.310832 19.241693      NaN   26.5    19 c    0    1.07 58.62571 -34.66868  1457.73  2500.97 4.72 4.32   9.3 -0.350    19.47 21.67 02a57779o0186c 0xc00900        10.5
57783.277858 19.609992      NaN   11.5    17 c    0    0.99 58.62571 -34.66868   489.88   588.96 4.27 3.97 -34.9 -0.419    19.58 21.59 02a57783o0121c 0xc00800        10.5
57783.290405 19.419021      NaN   21.5    17 c    0    1.04 58.62571 -34.66868   459.78   545.90 4.22 3.92 -38.5 -0.419    19.59 21.60 02a57783o0145c 0xc00800        10.5
57783.290882 19.256669      NaN   -3.5    24 c    0    1.08 58.62571 -34.66868  9960.14   593.60 4.07 3.74  60.0 -0.461    19.60 21.63 02a57783o0146c 0xc00900        10.5
57783.304674 19.089302      NaN   37.5    19 c    0    0.83 58.62571 -34.66868   526.38   624.41 4.45 4.01 -27.3 -0.407    19.54 21.59 02a57783o0172c 0xc00800        10.5
57783.305150 19.302877      NaN    0.5    23 c    0    0.92 58.62571 -34.66868  9945.04   552.97 4.14 3.80  56.4 -0.463    19.60 21.62 02a57783o0173c 0xc00800        10.5
57783.319662 19.051202      NaN   19.5    26 c    0    1.09 58.62571 -34.66868  9996.08   628.85 4.58 4.12  23.2 -0.456    19.46 21.49 02a57783o0199c 0xc00800        10.5
57787.238094 18.481707      NaN   31.5    42 c    0    1.03 58.62571 -34.66868  5783.68  9166.89 3.80 3.59   7.1 -0.423    18.64 19.93 02a57787o0040c 0xc00800        10.5
57787.248949 18.944322      NaN  -37.5    32 c    0    0.95 58.62571 -34.66868  5751.41  9127.08 4.02 3.85  34.5 -0.410    18.89 20.31 02a57787o0062c 0xc00900        10.5
57787.262031 18.796518      NaN   24.5    32 c    0    0.94 58.62571 -34.66868  5815.27  9204.03 4.29 4.14  46.4 -0.385    18.81 20.29 02a57787o0088c 0xc00800        10.5
57787.274445 18.910912      NaN  -43.5    33 c    0    1.15 58.62571 -34.66868  5848.95  9086.35 4.31 4.17  53.7 -0.390    18.80 20.29 02a57787o0113c 0xc00900        10.5
57803.256621 19.696897      NaN   10.5    16 c    0    1.63 58.62571 -34.66868  2477.85   874.21 4.18 4.02 -86.5 -0.384    19.47 21.40 02a57803o0068c 0xc00900        10.5
57803.267906 19.510313      NaN   10.5    19 c    0    1.01 58.62571 -34.66868  2462.58   832.48 4.11 3.96 -85.3 -0.390    19.46 21.37 02a57803o0090c 0xc00800        10.5
57803.278519 19.287255      NaN   26.5    18 c    0    1.30 58.62571 -34.66868  2513.02   910.39 4.21 4.10 -85.8 -0.381    19.38 21.33 02a57803o0111c 0xc00900        10.5
57803.289734 19.401649      NaN    7.5    21 c    0    1.05 58.62571 -34.66868  2531.12   791.13 4.24 4.12 -76.2 -0.379    19.36 21.29 02a57803o0133c 0xc00800        10.5
57803.296352 18.438271      NaN   52.5    37 c    0    1.18 58.62571 -34.66868  8799.11 10499.29 4.03 3.95  87.7 -0.413    19.35 21.25 02a57803o0146c 0xc00800        10.5
